code,behave,name,InstType,SrcCast1,SrcCast2,AluMux1,AluMux2,AluMode,RegWriteMux,RegWSEXT,MemMode,MemLen,PCAddrSrc,PcSrc,GoodTrap,BadTrap,CsrSetMode,CsrSource,CsrBehave
any,nothing,default,any,any,any,any,any,add,no,any,no,any,zero,any,no,no,origin,any,no
0000000 ????? ????? 000 ????? 01100 11,Reg(dest)=src1+src2,add," R",no,no,src1,src2,add,alu,no,,,,,,,,,
??????? ????? ????? 000 ????? 00100 11,Reg(dest)=src1+imm,addi," I",no,,src1,imm,add,alu,no,,,,,,,,,
??????? ????? ????? 000 ????? 00110 11,"Reg(dest)=SEXT(src1+imm,32)",addiw," I",no,,src1,imm,add,alu,yes,,,,,,,,,
0000000 ????? ????? 000 ????? 01110 11,"Reg(dest)=SEXT(BITS(src1,31,0)+BITS(src2,31,0),32)",addw," R",yes,yes,src1,src2,add,alu,yes,,,,,,,,,
0000000 ????? ????? 111 ????? 01100 11,Reg(dest)=src1&src2,and," R",no,no,src1,src2,and,alu,no,,,,,,,,,
??????? ????? ????? 111 ????? 00100 11,Reg(dest)=src1&imm,andi," I",no,,src1,imm,and,alu,no,,,,,,,,,
??????? ????? ????? ??? ????? 00101 11,Reg(dest)=s->pc+imm,auipc," U",,,pc,imm,add,alu,no,,,,,,,,,
??????? ????? ????? 000 ????? 11000 11,s->dnpc=src1==src2?s->pc+imm:s->snpc,beq," B",no,no,src1,src2,sub,,,,,aluzero,pc,,,,,
??????? ????? ????? 101 ????? 11000 11,s->dnpc=(sword_t)src1>=(sword_t)src2?s->pc+imm:s->snpc,bge," B",no,no,src1,src2,sub,,,,,alunotneg,pc,,,,,
??????? ????? ????? 111 ????? 11000 11,s->dnpc=src1>=src2?s->pc+imm:s->snpc,bgeu," B",no,no,src1,src2,sub,,,,,alucarryorzero,pc,,,,,
??????? ????? ????? 100 ????? 11000 11,s->dnpc=(sword_t)src1<(sword_t)src2?s->pc+imm:s->snpc,blt," B",no,no,src1,src2,sub,,,,,aluneg,pc,,,,,
??????? ????? ????? 110 ????? 11000 11,s->dnpc=src1<src2?s->pc+imm:s->snpc,bltu," B",no,no,src1,src2,sub,,,,,alunotcarryandnotzero,pc,,,,,
??????? ????? ????? 001 ????? 11000 11,s->dnpc=src1!=src2?s->pc+imm:s->snpc,bne," B",no,no,src1,src2,sub,,,,,alunotzero,pc,,,,,
0000001 ????? ????? 100 ????? 01100 11,Reg(dest)=(sword_t)src1/(sword_t)src2,div," R",no,no,src1,src2,div,alu,no,,,,,,,,,
0000001 ????? ????? 101 ????? 01100 11,Reg(dest)=src1/src2,divu," R",no,no,src1,src2,divu,alu,no,,,,,,,,,
0000001 ????? ????? 101 ????? 01110 11,"Reg(dest) = SEXT(BITS(src1, 31, 0) / BITS(src2, 31, 0), 32))",divuw," R",yes,yes,src1,src2,divuw,alu,yes,,,,,,,,,
0000001 ????? ????? 100 ????? 01110 11,"Reg(dest)=(sword_t)SEXT(BITS(src1,31,0),32)/(sword_t)SEXT(BITS(src2,31,0),32)",divw," R",yes,yes,src1,src2,divw,alu,yes,,,,,,,,,
??????? ????? ????? ??? ????? 11011 11,Reg(dest)=s->snpc;s->dnpc=s->pc+imm,jal," J",,,,,,snpc,no,,,one,pc,,,,,
??????? ????? ????? 000 ????? 11001 11,Reg(dest)=s->snpc;s->dnpc=src1+imm,jalr," I",no,,,,,snpc,no,,,one,src1,,,,,
??????? ????? ????? 000 ????? 00000 11,"Reg(dest)=SEXT(Mr(src1+imm,1),8)",lb," I",no,,src1,imm,add,mem,no,read,one,,,,,,,
??????? ????? ????? 100 ????? 00000 11,"Reg(dest)=Mr(src1+imm,1)",lbu," I",no,,src1,imm,add,mem,no,readu,one,,,,,,,
??????? ????? ????? 011 ????? 00000 11,"Reg(dest)=Mr(src1+imm,8)",ld," I",no,,src1,imm,add,mem,no,read,eight,,,,,,,
??????? ????? ????? 001 ????? 00000 11,"Reg(dest)=SEXT(Mr(src1+imm,2),16)",lh," I",no,,src1,imm,add,mem,no,read,two,,,,,,,
??????? ????? ????? 101 ????? 00000 11,"Reg(dest)=Mr(src1+imm,2)",lhu," I",no,,src1,imm,add,mem,no,readu,two,,,,,,,
??????? ????? ????? ??? ????? 01101 11,Reg(dest)=imm,lui," U",,,zero,imm,add,alu,no,,,,,,,,,
??????? ????? ????? 010 ????? 00000 11,"Reg(dest)=SEXT(Mr(src1+imm,4),32)",lw," I",no,,src1,imm,add,mem,no,read,four,,,,,,,
??????? ????? ????? 110 ????? 00000 11,"Reg(dest)=Mr(src1+imm,4)",lwu," I",no,,src1,imm,add,mem,no,readu,four,,,,,,,
0000001 ????? ????? 000 ????? 01100 11,Reg(dest)=src1*src2,mul," R",no,no,src1,src2,mul,alu,no,,,,,,,,,
0000001 ????? ????? 000 ????? 01110 11,"Reg(dest)=SEXT(BITS(src1,31,0)*BITS(src2,31,0),32)",mulw," R",yes,yes,src1,src2,mulw,alu,yes,,,,,,,,,
0000001 ????? ????? 001 ????? 01100 11,"Reg(dest) = MULH((sword_t)src1, (sword_t)src2))",mulh," R",no,no,src1,src2,mulh,alu,no,,,,,,,,,
0000001 ????? ????? 010 ????? 01100 11,"Reg(dest) = MULHSU((sword_t)src1, src2))",mulhsu," R",no,no,src1,src2,mulhsu,alu,no,,,,,,,,,
0000001 ????? ????? 011 ????? 01100 11,"Reg(dest) = MULHU(src1, src2))",mulhu," R",no,no,src1,src2,mulhu,alu,no,,,,,,,,,
0000000 ????? ????? 110 ????? 01100 11,Reg(dest)=src1|src2,or," R",no,no,src1,src2,or,alu,no,,,,,,,,,
??????? ????? ????? 110 ????? 00100 11,Reg(dest)=src1|imm,ori," I",no,,src1,imm,or,alu,no,,,,,,,,,
0000001 ????? ????? 110 ????? 01100 11,Reg(dest)=(sword_t)src1%(sword_t)src2,rem," R",no,no,src1,src2,rem,alu,no,,,,,,,,,
0000001 ????? ????? 111 ????? 01100 11,Reg(dest)=src1%src2,remu," R",no,no,src1,src2,remu,alu,no,,,,,,,,,
0000001 ????? ????? 111 ????? 01110 11,"Reg(dest) = SEXT(BITS(src1, 31, 0) % BITS(src2, 31, 0), 32))",remuw," R",yes,yes,src1,src2,remuw,alu,yes,,,,,,,,,
0000001 ????? ????? 110 ????? 01110 11,"Reg(dest)=(sword_t)SEXT(BITS(src1,31,0),32)%(sword_t)SEXT(BITS(src2,31,0),32)",remw," R",yes,yes,src1,src2,remw,alu,yes,,,,,,,,,
??????? ????? ????? 000 ????? 01000 11,"Mw(src1+imm,1,src2)",sb," S",no,no,src1,imm,add,,,write,one,,,,,,,
??????? ????? ????? 011 ????? 01000 11,"Mw(src1+imm,8,src2)",sd," S",no,no,src1,imm,add,,,write,eight,,,,,,,
??????? ????? ????? 001 ????? 01000 11,"Mw(src1+imm,2,src2)",sh," S",no,no,src1,imm,add,,,write,two,,,,,,,
0000000 ????? ????? 001 ????? 01100 11,Reg(dest)=src1<<src2,sll," R",no,no,src1,src2,ll,alu,no,,,,,,,,,
000000? ????? ????? 001 ????? 00100 11,Reg(dest)=src1<<imm,slli," I",no,,src1,imm,ll,alu,no,,,,,,,,,
0000000 ????? ????? 001 ????? 00110 11,"Reg(dest)=SEXT(BITS(src1,31,0)<<imm,32)",slliw," I",yes,,src1,imm,ll,alu,yes,,,,,,,,,
0000000 ????? ????? 001 ????? 01110 11,"Reg(dest)=SEXT(BITS(src1,31,0)<<BITS(src2,4,0),32)",sllw," R",yes,no,src1,src2,ll,alu,yes,,,,,,,,,
0000000 ????? ????? 010 ????? 01100 11,Reg(dest)=(sword_t)src1<(sword_t)src2,slt," R",no,no,src1,src2,sub,aluneg,yes,,,,,,,,,
??????? ????? ????? 010 ????? 00100 11,Reg(dest)=(sword_t)src1<(sword_t)imm,slti," I",no,,src1,imm,sub,aluneg,yes,,,,,,,,,
??????? ????? ????? 011 ????? 00100 11,Reg(dest)=src1<imm,sltiu," I",no,,src1,imm,sub,alunotcarryandnotzero,yes,,,,,,,,,
0000000 ????? ????? 011 ????? 01100 11,Reg(dest)=src1<src2,sltu," R",no,no,src1,src2,sub,alunotcarryandnotzero,yes,,,,,,,,,
0100000 ????? ????? 001 ????? 01100 11,"Reg(dest)=(sword_t)src1>>BITS(src2,4,0)",sra," R",no,no,src1,src2,ra,alu,no,,,,,,,,,
010000? ????? ????? 101 ????? 00100 11,Reg(dest)=(sword_t)src1>>imm,srai," I",no,,src1,imm,ra,alu,no,,,,,,,,,
0100000 ????? ????? 101 ????? 00110 11,"Reg(dest)=SEXT((sword_t)SEXT(BITS(src1,31,0),32)>>imm,32)",sraiw," I",yes,,src1,imm,ra,alu,yes,,,,,,,,,
0100000 ????? ????? 101 ????? 01110 11,"Reg(dest)=SEXT((sword_t)SEXT(BITS(src1,31,0),32)>>BITS(src2,4,0),32)",sraw," R",yes,no,src1,src2,ra,alu,yes,,,,,,,,,
0000000 ????? ????? 101 ????? 01100 11,"Reg(dest)=src1>>BITS(src2,4,0)",srl," R",no,no,src1,src2,rl,alu,no,,,,,,,,,
000000? ????? ????? 101 ????? 00100 11,Reg(dest)=src1>>imm,srli," I",no,,src1,imm,rl,alu,no,,,,,,,,,
0000000 ????? ????? 101 ????? 00110 11,"Reg(dest)=SEXT(BITS(src1,31,0)>>imm,32)",srliw," I",yes,,src1,imm,rlw,alu,yes,,,,,,,,,
0000000 ????? ????? 101 ????? 01110 11,"Reg(dest)=SEXT(BITS(src1,31,0)>>BITS(src2,4,0),32)",srlw," R",yes,no,src1,src2,rlw,alu,yes,,,,,,,,,
